# Theta(rad) Phi(rad) Memory(strain)
0.000000000000000000e+00 0.000000000000000000e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.064946662233828140e-01 1.436641130598231095e-27
0.000000000000000000e+00 2.129893324467656279e-01 1.436641130598231095e-27
0.000000000000000000e+00 3.194839986701484280e-01 1.436641130598231095e-27
0.000000000000000000e+00 4.259786648935312559e-01 1.436641130598231095e-27
0.000000000000000000e+00 5.324733311169140837e-01 1.436641130598231095e-27
0.000000000000000000e+00 6.389679973402968560e-01 1.436641130598231095e-27
0.000000000000000000e+00 7.454626635636797394e-01 1.436641130598231095e-27
0.000000000000000000e+00 8.519573297870625117e-01 1.436641130598231095e-27
0.000000000000000000e+00 9.584519960104452840e-01 1.436641130598231095e-27
0.000000000000000000e+00 1.064946662233828167e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.171441328457210940e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.277935994680593712e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.384430660903976484e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.490925327127359479e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.597419993350742251e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.703914659574125023e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.810409325797507796e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.916903992020890568e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.023398658244273562e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.129893324467656335e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.236387990691039107e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.342882656914421879e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.449377323137804652e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.555871989361187424e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.662366655584570196e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.768861321807952969e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.875355988031336185e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.981850654254718958e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.088345320478101730e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.194839986701484502e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.301334652924867274e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.407829319148250047e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.514323985371632819e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.620818651595015591e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.727313317818398364e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.833807984041781136e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.940302650265163908e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.046797316488547125e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.153291982711929897e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.259786648935312670e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.366281315158695442e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.472775981382078214e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.579270647605460987e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.685765313828843759e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.792259980052226531e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.898754646275609304e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.005249312498992076e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.111743978722374848e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.218238644945757621e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.324733311169140393e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.431227977392523165e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.537722643615905938e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.644217309839288710e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.750711976062672370e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.857206642286055143e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.963701308509437915e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.070195974732820687e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.176690640956203460e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.283185307179586232e+00 1.436641130598231095e-27
1.083307811582687324e-01 0.000000000000000000e+00 -1.148602854753726277e-27
1.083307811582687324e-01 1.064946662233828140e-01 -1.270172284119300989e-27
1.083307811582687324e-01 2.129893324467656279e-01 -1.301362223455754812e-27
1.083307811582687324e-01 3.194839986701484280e-01 -8.941381407589325711e-28
1.083307811582687324e-01 4.259786648935312559e-01 -6.881534724379316610e-28
1.083307811582687324e-01 5.324733311169140837e-01 -5.843386369279749302e-28
1.083307811582687324e-01 6.389679973402968560e-01 6.989930001952129447e-29
1.083307811582687324e-01 7.454626635636797394e-01 3.124819867126595752e-28
1.083307811582687324e-01 8.519573297870625117e-01 4.056907193682939597e-28
1.083307811582687324e-01 9.584519960104452840e-01 7.818516072773868856e-28
1.083307811582687324e-01 1.064946662233828167e+00 1.276320371850770781e-27
1.083307811582687324e-01 1.171441328457210940e+00 1.471450029226477805e-27
1.083307811582687324e-01 1.277935994680593712e+00 1.812795023747686380e-27
1.083307811582687324e-01 1.384430660903976484e+00 2.630483270927447359e-27
1.083307811582687324e-01 1.490925327127359479e+00 2.233269773701835709e-27
1.083307811582687324e-01 1.597419993350742251e+00 2.084328504345120452e-27
1.083307811582687324e-01 1.703914659574125023e+00 2.207251392330382400e-27
1.083307811582687324e-01 1.810409325797507796e+00 1.901396842509687816e-27
1.083307811582687324e-01 1.916903992020890568e+00 1.382003938443886467e-27
1.083307811582687324e-01 2.023398658244273562e+00 1.157800911605317380e-27
1.083307811582687324e-01 2.129893324467656335e+00 9.538509862958614749e-28
1.083307811582687324e-01 2.236387990691039107e+00 2.596440464880236358e-28
1.083307811582687324e-01 2.342882656914421879e+00 -7.047050784111464282e-29
1.083307811582687324e-01 2.449377323137804652e+00 -3.780978003511846393e-28
1.083307811582687324e-01 2.555871989361187424e+00 -8.334489802758206773e-28
1.083307811582687324e-01 2.662366655584570196e+00 -1.120697920079751935e-27
1.083307811582687324e-01 2.768861321807952969e+00 -1.284475633148575984e-27
1.083307811582687324e-01 2.875355988031336185e+00 -1.531200075511668101e-27
1.083307811582687324e-01 2.981850654254718958e+00 -1.853914097064507175e-27
1.083307811582687324e-01 3.088345320478101730e+00 -1.602507402205403938e-27
1.083307811582687324e-01 3.194839986701484502e+00 -1.523572433098884520e-27
1.083307811582687324e-01 3.301334652924867274e+00 -1.541284303544368351e-27
1.083307811582687324e-01 3.407829319148250047e+00 -1.183159475170951110e-27
1.083307811582687324e-01 3.514323985371632819e+00 -8.271000130836383718e-28
1.083307811582687324e-01 3.620818651595015591e+00 -5.611591441762449382e-28
1.083307811582687324e-01 3.727313317818398364e+00 -1.059162669503399336e-28
1.083307811582687324e-01 3.833807984041781136e+00 6.899599615553431461e-28
1.083307811582687324e-01 3.940302650265163908e+00 1.158106056473935868e-27
1.083307811582687324e-01 4.046797316488547125e+00 1.686372816629312512e-27
1.083307811582687324e-01 4.153291982711929897e+00 2.598952058511776369e-27
1.083307811582687324e-01 4.259786648935312670e+00 2.978102714300127119e-27
1.083307811582687324e-01 4.366281315158695442e+00 3.322698188646277517e-27
1.083307811582687324e-01 4.472775981382078214e+00 3.923064129272777649e-27
1.083307811582687324e-01 4.579270647605460987e+00 4.234650489795734065e-27
1.083307811582687324e-01 4.685765313828843759e+00 4.022139987239798221e-27
1.083307811582687324e-01 4.792259980052226531e+00 4.019387239819708742e-27
1.083307811582687324e-01 4.898754646275609304e+00 4.048532885782637458e-27
