# Theta(rad) Phi(rad) Memory(strain)
0.000000000000000000e+00 0.000000000000000000e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.279987653092089311e-02 1.436641130598231095e-27
0.000000000000000000e+00 1.055997530618417862e-01 1.436641130598231095e-27
0.000000000000000000e+00 1.583996295927626863e-01 1.436641130598231095e-27
0.000000000000000000e+00 2.111995061236835725e-01 1.436641130598231095e-27
0.000000000000000000e+00 2.639993826546044864e-01 1.436641130598231095e-27
0.000000000000000000e+00 3.167992591855253726e-01 1.436641130598231095e-27
0.000000000000000000e+00 3.695991357164462587e-01 1.436641130598231095e-27
0.000000000000000000e+00 4.223990122473671449e-01 1.436641130598231095e-27
0.000000000000000000e+00 4.751988887782880311e-01 1.436641130598231095e-27
0.000000000000000000e+00 5.279987653092089728e-01 1.436641130598231095e-27
0.000000000000000000e+00 5.807986418401298589e-01 1.436641130598231095e-27
0.000000000000000000e+00 6.335985183710507451e-01 1.436641130598231095e-27
0.000000000000000000e+00 6.863983949019716313e-01 1.436641130598231095e-27
0.000000000000000000e+00 7.391982714328925175e-01 1.436641130598231095e-27
0.000000000000000000e+00 7.919981479638134036e-01 1.436641130598231095e-27
0.000000000000000000e+00 8.447980244947342898e-01 1.436641130598231095e-27
0.000000000000000000e+00 8.975979010256551760e-01 1.436641130598231095e-27
0.000000000000000000e+00 9.503977775565760622e-01 1.436641130598231095e-27
0.000000000000000000e+00 1.003197654087496948e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.055997530618417946e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.108797407149338721e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.161597283680259718e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.214397160211180493e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.267197036742101490e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.319996913273022265e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.372796789803943263e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.425596666334864038e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.478396542865785035e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.531196419396705810e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.583996295927626807e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.636796172458547582e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.689596048989468580e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.742395925520389577e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.795195802051310352e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.847995678582231349e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.900795555113152124e+00 1.436641130598231095e-27
0.000000000000000000e+00 1.953595431644073122e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.006395308174993897e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.059195184705914894e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.111995061236835891e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.164794937767756444e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.217594814298677441e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.270394690829598439e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.323194567360519436e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.375994443891439989e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.428794320422360986e+00 1.436641130598231095e-27
